SP,ST,ET,LB,LMin,LMax,LMean,LSD,UMin,UMax,UMean,USD,x0,x1,x2,x3,x4,x5,x6,r2,Rise,Increment,MaxTime
0,2023-11-16T08:44:53,6.434566666666667,0.5,-50.73014215956223,1460.0794298611067,477.45033492935505,523.8222617335671,93.5843746286082,1460.1740566642939,1052.3160401699902,400.67867007680985,18.999999999998664,-2.359375,0.02117919921875,-2.586841583251953e-05,8.475035429000854e-08,1.482476363889873e-10,-7.460698725481052e-13,0.3866044610440483,False,0,479
100,2023-11-16T08:55:06,0.10529999999999999,0.5,22.000000000106525,22.12473187581622,22.07368615551123,0.039322464659636985,16.226967150613074,54.601484225970665,22.328130226065273,8.263414735920914,22.000000000106525,0.034423828125,-0.002349853515625,1.990795135498047e-05,-4.516914486885071e-08,-1.255102688446641e-10,6.856737400084967e-13,0.4904655949524862,True,100,243
600,2023-11-16T09:00:06,70.74833333333332,0.5,24.111063926054044,453.99642586824484,324.58578818496517,144.37970208458924,449.7714613504595,457.6158952742808,453.1110191133208,2.100197271071575,26.18981768822414,-0.06165706333376875,0.00047801781530365517,-3.1235470565420514e-07,8.822472414608138e-11,-1.1774858201874257e-14,6.069963631389955e-19,0.9997436802814843,True,500,5675
650,2023-11-16T10:35:06,21.19973333333333,0.5,452.9052847894782,488.96073292445595,476.5101916667263,10.35767014118209,488.99893846796925,493.0667238167757,491.7691618231699,1.2418034347270557,452.9052847894782,0.05869043457300904,-2.2456352949618008e-05,-1.6073491407656015e-08,1.9089655266488225e-11,-6.795428753948493e-15,8.282225741154347e-19,0.9990548181728244,True,50,2296
700,2023-11-16T11:15:06,19.260733333333334,0.5,492.6503338069597,532.4686726148357,519.618598909153,11.345305801622011,532.5034961166847,536.1602166815569,534.7012017284594,0.9078824443706514,492.6503338069597,0.07818095988432106,-3.275445506112362e-05,-4.6010814234997977e-08,6.317022222695513e-11,-2.8900188380571845e-14,4.6846341605508874e-18,0.9996226774355689,True,50,2086
750,2023-11-16T11:50:17,17.5644,0.5,535.8806115416519,578.1247176673139,565.1189400954712,11.732499068483518,578.1595951065265,581.0693790179433,580.2891086356462,0.8316958758975493,535.8806115416519,0.10902672097290633,-0.00012159559307534096,7.967992745466779e-08,-3.1942208548866625e-11,7.41615790690778e-15,-7.84102439695169e-19,0.9995318636986714,True,50,2091
800,2023-11-16T12:25:40,16.445,0.5,583.9537975604762,624.8170002114329,613.5283626328713,10.836069121022241,624.8458401000402,628.1247128887059,626.6776385859456,0.8184268514204451,583.9537975604762,0.14008951650657764,-0.00022649906200733483,2.0971766438032668e-07,-1.0482133464982581e-10,2.3935660672070107e-14,-1.4210668951426132e-18,0.9995590620795924,True,50,1725
850,2023-11-16T12:55:08,15.582500000000001,0.5,627.5468418007367,672.236064510965,660.1819901126469,11.990601497391392,672.264738713856,674.1650403635972,673.7274478720907,0.4932006372164518,627.5468418007367,0.15841641174210963,-0.00024311673103483145,1.901716679686416e-07,-6.18510817649437e-11,-2.342305761078588e-15,3.945225477414347e-18,0.9991017402803919,True,50,1725
900,2023-11-16T13:25:06,13.205666666666668,0.5,672.7905933242291,720.5052229934139,708.131922405191,12.856277712846682,720.5340206745034,723.1465532595644,722.5067512451081,0.716636297393605,672.7905933242291,0.2050218892504745,-0.00037588562949686377,3.614105142622781e-07,-1.765419383184736e-10,3.6539499138236006e-14,-1.32774944774291e-18,0.998764600812093,True,50,1730
950,2023-11-16T13:55:10,13.393,0.5,724.054485972214,770.272273344601,758.9951797086896,11.98278912354809,770.3018505218055,772.101916061609,771.7558288715487,0.43753374802679923,724.054485972214,0.22683354057016913,-0.0005187781699298455,6.70481715245308e-07,-4.866047799076401e-10,1.833968981179307e-13,-2.7847930669082067e-17,0.9997907374232952,True,50,1770
