SP,ST,ET,LB,LMin,LMax,LMean,LSD,UMin,UMax,UMean,USD
100,2024-03-26T19:59:59,,0.5,,,,,,,,
600,2024-03-26T20:04:59,57.589333333333336,0.5,52.8162029699015,466.78283101303026,356.9378783362756,115.11493943926943,466.87311026278394,471.6303569656625,470.42019995228134,1.3114917414303349
650,2024-03-26T21:34:59,18.886000000000003,0.5,469.2772657420137,503.6856469340517,493.65196857432244,9.050388568980363,503.7304928382526,508.25445775184244,506.93389539020615,1.233410139424265
700,2024-03-26T22:19:59,20.95446666666667,0.5,507.9368028714089,547.381303311217,535.9863687434587,10.000466658669465,547.4261171380226,551.4648392277734,549.7687320091648,1.0408673886764603
750,2024-03-26T23:04:59,17.475,0.5,548.824659461272,589.1339614305849,577.7003067968946,10.625094071560085,589.1687837617336,591.5636701712817,590.8917485319766,0.5729805023256467
800,2024-03-26T23:39:59,15.8224,0.5,590.941995411762,632.463712005402,621.1180974431138,10.551479521318942,632.4935295374861,635.5967675310911,634.1732618160586,0.8823416171570683
850,2024-03-27T00:09:59,16.250966666666667,0.5,634.6373827476637,679.8882510914165,668.1601164542768,11.386064332941421,679.9181943751817,682.2688939555975,681.4663336390439,0.6314807605544909
900,2024-03-27T00:39:59,16.31093333333333,0.5,680.362217924383,727.240551874808,716.1960581729434,11.672839344441146,727.2704688689778,729.9958284746889,728.760147558586,0.5658021500243816
950,2024-03-27T01:09:59,14.623733333333332,0.5,728.5240600110264,775.8366092379464,764.4111251609081,11.933419248380604,775.8664157983541,777.9840224475716,777.2464628996725,0.507393773006885
1000,2024-03-27T01:39:59,13.441033333333333,0.5,775.1566469849786,824.9528348582355,813.1487098653113,12.406910528871554,824.97794829887,826.9598950898509,826.084644663959,0.5038113954955833
1050,2024-03-27T02:04:59,11.457633333333332,0.5,825.0346594500588,879.992858960805,867.5757304537829,13.944278154718157,880.0179988773174,882.3715511994162,881.1372900513097,0.6304300337391775
1100,2024-03-27T02:30:04,11.132100000000001,0.5,881.436181241821,932.7238756384054,921.4428593026008,11.76721037262389,931.2652365990043,933.2955197351716,932.830405267253,0.3248027601994542
1150,2024-03-27T02:50:04,10.861866666666666,0.5,930.3959209226887,984.0817856353311,973.4214041326782,12.591735940350857,984.1017499748423,985.4231629929307,984.7441088064814,0.3488315872641722
1200,2024-03-27T03:10:04,7.442633333333333,0.5,981.9863434028812,1031.5927914971114,1020.4994826049895,13.072625587813707,1031.612326413165,1034.3161178504793,1033.2801717703433,0.7218422908656978
1250,2024-03-27T03:29:34,7.356800000000001,0.5,1029.963980465196,1081.1968154734068,1070.8766927463284,12.08813541965934,1080.7084162640554,1081.4825111490522,1081.061986611296,0.23316497681682177
